task,kind,explainer,n_folds,mean_auc,frac_auc_passed,mean_loc_auprc,mean_loc_auprc2,mean_loc_enrichment,frac_loc_passed,mean_aupc_morf,mean_aupc_lerf,mean_delta_lerf_morf,frac_faith_passed,control_auc_frac,control_loc_frac,control_frac_passed,loc_verdict,faith_verdict,verdict,p_morf_lt_random,dataset,selected,combo
motif_cd8_high,control,ig,15,0.9596166201098354,1.0,0.8570650631696355,0.8291446963545257,1.687855698381307,0.0,0.372514788959073,0.5404235055316727,0.1679087165725998,1.0,1.0,0.5,0.5,fail_control,pass_control,fail_control,3.681249153959827e-13,bc_metabric_ali2020,False,composition
motif_interface_immune,spatial,ig,15,0.5730730164126139,0.3333333333333333,0.4169665904819922,0.3805089924241283,1.2181801888440886,0.0,0.2816785579671109,0.636110974776907,0.354432416809796,0.3333333333333333,1.0,0.5,0.5,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,0.000135999253174,bc_metabric_ali2020,True,composition
motif_tumor_high,control,ig,15,0.96991201470397,1.0,0.896525640675355,0.890872020025402,2.6911407705796333,1.0,0.2852281178537354,0.7000356551208057,0.4148075372670703,1.0,1.0,0.5,0.5,pass_control,pass_control,pass_control,5.1092143847662615e-14,bc_metabric_ali2020,False,composition
motif_tumor_stroma_mixing,spatial,ig,15,0.7660506554651324,1.0,0.7712390002925154,0.6571787630202119,1.571695774553025,0.4666666666666667,0.3868278242892584,0.7229770559989421,0.3361492317096838,1.0,1.0,0.5,0.5,abundance_only_or_fail,pass_spatial,faithful_but_wrong_place,2.5013412352239605e-13,bc_metabric_ali2020,True,composition
motif_cd8_high,control,one_removed,15,0.9596166201098354,1.0,0.7792312113623496,0.7569086868201744,1.5391426450630623,0.0,0.4210367972918097,0.5619730266612599,0.1409362293694503,1.0,1.0,0.5,0.5,fail_control,pass_control,fail_control,4.821034246479833e-09,bc_metabric_ali2020,False,composition
motif_interface_immune,spatial,one_removed,15,0.5730730164126139,0.3333333333333333,0.4086581857757466,0.3770420842895257,1.1851700418821434,0.0,0.3305337716663165,0.6469091590738252,0.3163753874075087,0.3333333333333333,1.0,0.5,0.5,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,0.0002816324494887,bc_metabric_ali2020,True,composition
motif_tumor_high,control,one_removed,15,0.96991201470397,1.0,0.7992656857008782,0.7817017883341956,2.455831616674965,1.0,0.3285270727838547,0.6689528147080371,0.3404257419241823,1.0,1.0,0.5,0.5,pass_control,pass_control,pass_control,3.004184508170076e-13,bc_metabric_ali2020,False,composition
motif_tumor_stroma_mixing,spatial,one_removed,15,0.7660506554651324,1.0,0.7444292465531018,0.6228823758162281,1.243434005895095,0.1333333333333333,0.3742247328344311,0.6537289546052795,0.2795042217708484,1.0,1.0,0.5,0.5,abundance_only_or_fail,pass_spatial,faithful_but_wrong_place,1.7797592381585384e-15,bc_metabric_ali2020,True,composition
motif_cd8_high,control,random,15,0.9596166201098354,1.0,0.7073325558476103,0.7293461113317944,0.9996792410953432,0.0,0.4673487061322403,0.4692137282169282,0.0018650220846878,0.0,1.0,0.0,0.0,fail_control,fail_control,fail_control,0.120848047975453,bc_metabric_ali2020,False,composition
motif_interface_immune,spatial,random,15,0.5730730164126139,0.3333333333333333,0.3755847087357463,0.3374709514484552,0.9723118373967572,0.0,0.4808124781312841,0.4835710169844611,0.0027585388531769,0.0,1.0,0.0,0.0,abundance_only_or_fail,unfaithful_or_fail,abundance_only_or_fail,0.5306232657028577,bc_metabric_ali2020,True,composition
