method,dataset,task,kind,raw_passed,protocol_passed,verdict,dataset_controls_ok,mean_auc,frac_auc_passed,frac_loc_passed,frac_faith_passed,mean_loc_enrichment,mean_delta_lerf_morf,native_verdict,loc_verdict,faith_verdict,combo,explainer
mil_mixing_ig,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,0.9400192306934264,0.8666666666666667,0.8666666666666667,0.8666666666666667,2.313919776754322,0.5067290142175291,pass_control,pass_control,pass_control,mixing,ig
mil_mixing_ig,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,0.6152279664031474,0.4666666666666667,0.2666666666666666,0.4666666666666667,1.5043576346314669,0.6255522851343864,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,ig
mil_mixing_ig,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,0.7058145941742333,1.0,0.0,1.0,1.164407556929976,0.6240994215699567,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,ig
mil_mixing_ig,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,0.8449522215117599,1.0,1.0,1.0,4.0996750750291655,0.585600167778002,pass_spatial,pass_spatial,pass_spatial,mixing,ig
mil_mixing_ig,hnc_wu2022,motif_immune_exclusion,spatial,True,True,pass_spatial,True,0.9189913140030992,1.0,1.0,1.0,2.703745919494785,0.6544124141298148,pass_spatial,pass_spatial,pass_spatial,mixing,ig
mil_mixing_ig,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,True,0.9720046976431156,1.0,1.0,1.0,2.097240212988837,0.4042577031597693,pass_control,pass_control,pass_control,mixing,ig
mil_mixing_one_removed,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_spatial,True,0.6535642703576606,0.7333333333333333,0.0,0.7333333333333333,1.0590454632497812,0.5175904212658022,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,one_removed
mil_mixing_one_removed,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,False,fail_spatial,True,0.6545126294335097,0.9333333333333332,0.0,0.9333333333333332,1.1949844642465808,0.4907272865000778,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,one_removed
mil_mixing_one_removed,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_spatial,True,0.5882662661405493,0.4,0.4,0.4,1.8047940166936571,0.5721637827701437,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,one_removed
mil_mixing_one_removed,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_spatial,True,0.6629355405761213,0.8,0.0,0.8,1.176536876703224,0.5014376301812625,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,one_removed
mil_mixing_one_removed,bc_jackson2020,motif_tumor_high,control,True,True,pass_control,True,0.9400192306934264,0.8666666666666667,0.8666666666666667,0.8666666666666667,2.136618446012567,0.4038569951152676,pass_control,pass_control,pass_control,mixing,one_removed
mil_mixing_one_removed,bc_metabric_ali2020,motif_interface_immune,spatial,False,False,fail_control_block,False,0.6152279664031474,0.4666666666666667,0.2,0.4666666666666667,1.4262105217040826,0.5273374865467735,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,one_removed
mil_mixing_one_removed,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,False,False,fail_control_block,False,0.7058145941742333,1.0,0.0,1.0,1.0953415277647016,0.5105000226373154,faithful_but_wrong_place,abundance_only_or_fail,pass_spatial,mixing,one_removed
mil_mixing_one_removed,hnc_wu2022,motif_cd8_clustering,spatial,True,True,pass_spatial,True,0.8449522215117599,1.0,1.0,1.0,3.792859298114047,0.4418781101680996,pass_spatial,pass_spatial,pass_spatial,mixing,one_removed
mil_mixing_one_removed,hnc_wu2022,motif_immune_exclusion,spatial,True,True,pass_spatial,True,0.9189913140030992,1.0,1.0,1.0,2.449261666560166,0.4249407370004365,pass_spatial,pass_spatial,pass_spatial,mixing,one_removed
mil_mixing_one_removed,tnbc_wang2023,motif_cd8_high,control,True,True,pass_control,True,0.9720046976431156,1.0,1.0,1.0,2.055266164205852,0.3142973320904311,pass_control,pass_control,pass_control,mixing,one_removed
mil_mixing_random,bc_jackson2020,motif_apc_t_contact,spatial,False,False,fail_control_block,False,0.6535642703576606,0.7333333333333333,0.0,0.0,1.06693888843091,-0.0108169695477716,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,random
mil_mixing_random,bc_jackson2020,motif_cd8_tumor_contact,spatial,False,False,fail_control_block,False,0.6545126294335097,0.9333333333333332,0.0,0.0,0.9878306089978606,-0.0025872995194893,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,random
mil_mixing_random,bc_jackson2020,motif_macrophage_tumor_niche,spatial,False,False,fail_control_block,False,0.5882662661405493,0.4,0.0,0.0,1.0088393436347725,0.0019710063617739,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,random
mil_mixing_random,bc_jackson2020,motif_t_tumor_mixing,spatial,False,False,fail_control_block,False,0.6629355405761213,0.8,0.0,0.0,0.9922598156951682,7.8356213865996e-06,abundance_only_or_fail,abundance_only_or_fail,unfaithful_or_fail,mixing,random
