family,dataset,task,kind,method,n_hit_candidates,hit_at_1,precision_at_3,precision_at_5,mrr,recall_at_1,recall_at_3,recall_at_5,miss_as_top1,n_folds
composition_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,shap,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
composition_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,lasso,10,1.0,0.9333333333333333,0.92,1.0,1.0,0.9333333333333333,0.92,0.0,15
composition_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,shap,10,1.0,0.9111111111111111,0.8933333333333333,1.0,1.0,0.9111111111111111,0.8933333333333333,0.0,15
composition_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,lasso,10,0.0,0.02222222222222222,0.02666666666666667,0.12264143264143264,0.0,0.02222222222222222,0.02666666666666667,1.0,15
composition_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,shap,10,0.0,0.04444444444444444,0.05333333333333334,0.1250194522253346,0.0,0.04444444444444444,0.05333333333333334,1.0,15
composition_point_pattern,tnbc_wang2023,motif_cd8_high,control,lasso,4,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.0,15
composition_point_pattern,tnbc_wang2023,motif_cd8_high,control,shap,4,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.0,15
density_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,lasso,20,0.8,0.5111111111111111,0.4,0.888888888888889,0.8,0.5111111111111111,0.4,0.0,15
density_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,shap,20,0.5333333333333333,0.4222222222222222,0.44,0.75,0.5333333333333333,0.4222222222222222,0.44,0.0,15
density_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,11,1.0,0.6222222222222221,0.4266666666666667,1.0,1.0,0.6222222222222221,0.4266666666666667,0.0,15
density_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,11,0.8666666666666667,0.6222222222222221,0.4533333333333333,0.9166666666666666,0.8666666666666667,0.6222222222222221,0.4533333333333333,0.06666666666666667,15
density_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,150,0.13333333333333333,0.4444444444444444,0.5733333333333334,0.5166666666666667,0.13333333333333333,0.4444444444444444,0.5733333333333334,0.0,15
density_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,150,0.26666666666666666,0.4222222222222222,0.6133333333333333,0.55,0.26666666666666666,0.4222222222222222,0.6133333333333333,0.06666666666666667,15
density_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,150,0.0,0.26666666666666666,0.29333333333333333,0.425,0.0,0.26666666666666666,0.29333333333333333,0.0,15
density_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,150,0.4,0.3333333333333333,0.3466666666666667,0.6333333333333333,0.4,0.3333333333333333,0.3466666666666667,0.0,15
density_point_pattern,bc_jackson2020,motif_tumor_high,control,lasso,15,1.0,0.7333333333333333,0.6533333333333334,1.0,1.0,0.7333333333333333,0.6533333333333334,0.0,15
