family,dataset,task,kind,mean_auc_lasso,mean_auc_ridge,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,joint_mean_auc_lasso,joint_mean_auc_ridge,joint_frac_lasso_passed,joint_frac_shap_passed
composition_point_pattern,tnbc_wang2023,motif_cd8_high,control,0.966590522271932,0.9676007983294452,1.0,1.0,1.0,0.9752298485299818,0.9772897004106226,0.0,0.2
density_point_pattern,bc_jackson2020,motif_apc_t_contact,spatial,0.6320186482016791,0.6346792667326824,1.0,1.0,0.9333333333333332,0.6839872439309251,0.6806886142837433,1.0,1.0
density_point_pattern,bc_jackson2020,motif_cd8_tumor_contact,spatial,0.7989379537965833,0.7983394278414213,1.0,0.9333333333333332,0.9333333333333332,0.8810976088249568,0.8757017183602076,1.0,1.0
density_point_pattern,bc_jackson2020,motif_macrophage_tumor_niche,spatial,0.6335350190516285,0.6356535071109131,1.0,0.9333333333333332,0.8,0.7899695820827977,0.7913776079784736,1.0,1.0
density_point_pattern,bc_jackson2020,motif_t_tumor_mixing,spatial,0.7990592350602576,0.7959385865454573,0.8666666666666667,0.8666666666666667,0.9333333333333332,0.8832423194389634,0.8804172395580807,1.0,1.0
density_point_pattern,bc_jackson2020,motif_tumor_high,control,0.9839210733261284,0.9837189580346876,1.0,1.0,1.0,0.9729267388048382,0.9721066973045724,1.0,1.0
density_point_pattern,bc_metabric_ali2020,motif_interface_immune,spatial,0.6302590393235957,0.6312766644857504,0.1333333333333333,0.2,0.8666666666666667,0.5847062845164773,0.5865776068687947,0.0,0.0
density_point_pattern,bc_metabric_ali2020,motif_tumor_stroma_mixing,spatial,0.7620157880972745,0.7606241781876762,0.0,0.0,0.9333333333333332,0.873742112677661,0.8721206303099582,1.0,1.0
density_point_pattern,hnc_wu2022,motif_cd8_clustering,spatial,0.9117364651720912,0.9209053630976192,1.0,1.0,1.0,0.9481648231981356,0.9510262882344304,1.0,1.0
density_point_pattern,hnc_wu2022,motif_immune_exclusion,spatial,0.9254680922275408,0.928248274769484,1.0,1.0,1.0,0.9785176911026952,0.9795306247910294,0.0,0.0
