dataset,task,seed,fold,method,kind,hit_in_top5,n_hit_in_top,best_hit_rank,top1,miss_as_top1,recovered,passed,auc_lasso,auc_ridge,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed
hnc_wu2022,motif_interface_immune,2,2,shap,spatial,,0,,utag_std__Vimentin,False,False,False,0.7660455486542443,0.7308488612836439,0.0641821946169771,0.0351966873706004,True
hnc_wu2022,motif_interface_immune,2,3,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.8576923076923078,0.8192307692307692,0.3076923076923077,0.0423076923076922,True
hnc_wu2022,motif_interface_immune,2,3,shap,spatial,,0,,utag_mean__CD45,False,False,False,0.8576923076923078,0.8192307692307692,0.3076923076923077,0.0423076923076922,True
hnc_wu2022,motif_interface_immune,2,4,lasso,spatial,,0,,utag_std__Vimentin,False,False,False,0.948849104859335,0.8823529411764706,0.4424552429667518,-0.040920716112532,True
hnc_wu2022,motif_interface_immune,2,4,shap,spatial,,0,,utag_mean__CD45,False,False,False,0.948849104859335,0.8823529411764706,0.4424552429667518,-0.040920716112532,True
hnc_wu2022,motif_tumor_high,0,0,lasso,control,utag_mean__PanCK,1,2.0,utag_mean__CD45,False,True,True,0.9770186335403728,0.977639751552795,0.2888198757763975,0.0316770186335403,True
hnc_wu2022,motif_tumor_high,0,0,shap,control,utag_mean__PanCK,1,2.0,utag_mean__CD45,False,True,True,0.9770186335403728,0.977639751552795,0.2888198757763975,0.0316770186335403,True
hnc_wu2022,motif_tumor_high,0,1,lasso,control,utag_mean__PanCK,1,2.0,utag_mean__CD45,False,True,True,0.8581081081081081,0.8601351351351352,0.0932432432432432,0.0006756756756757,True
hnc_wu2022,motif_tumor_high,0,1,shap,control,utag_mean__PanCK,1,3.0,utag_mean__CD45,False,True,True,0.8581081081081081,0.8601351351351352,0.0932432432432432,0.0006756756756757,True
hnc_wu2022,motif_tumor_high,0,2,lasso,control,utag_mean__PanCK,1,2.0,utag_mean__CD45,False,True,True,0.970961887477314,0.9818511796733213,0.5226860254083485,0.0127041742286752,True
hnc_wu2022,motif_tumor_high,0,2,shap,control,utag_mean__PanCK,1,2.0,utag_mean__CD45,False,True,True,0.970961887477314,0.9818511796733213,0.5226860254083485,0.0127041742286752,True
hnc_wu2022,motif_tumor_high,0,3,lasso,control,utag_mean__PanCK,1,4.0,utag_mean__CD45,False,True,True,0.9448529411764705,0.9329044117647058,0.1764705882352941,0.0358455882352939,True
hnc_wu2022,motif_tumor_high,0,3,shap,control,utag_mean__PanCK,1,4.0,utag_std__CD56,False,True,True,0.9448529411764705,0.9329044117647058,0.1764705882352941,0.0358455882352939,True
hnc_wu2022,motif_tumor_high,0,4,lasso,control,utag_mean__PanCK,1,3.0,utag_mean__CD45,False,True,True,0.9487179487179488,0.938034188034188,0.2834757834757835,0.059116809116809,True
hnc_wu2022,motif_tumor_high,0,4,shap,control,utag_mean__PanCK,1,1.0,utag_mean__PanCK,False,True,True,0.9487179487179488,0.938034188034188,0.2834757834757835,0.059116809116809,True
hnc_wu2022,motif_tumor_high,1,0,lasso,control,utag_mean__PanCK,1,1.0,utag_mean__PanCK,False,True,True,0.9187301587301586,0.9269841269841268,0.2755555555555555,0.0298412698412697,True
hnc_wu2022,motif_tumor_high,1,0,shap,control,utag_mean__PanCK,1,2.0,utag_mean__CD45,False,True,True,0.9187301587301586,0.9269841269841268,0.2755555555555555,0.0298412698412697,True
hnc_wu2022,motif_tumor_high,1,1,lasso,control,utag_mean__PanCK,1,3.0,utag_mean__CD45,False,True,True,0.912837837837838,0.9182432432432432,0.2243243243243243,0.056081081081081,True
hnc_wu2022,motif_tumor_high,1,1,shap,control,utag_mean__PanCK,1,3.0,utag_mean__CD45,False,True,True,0.912837837837838,0.9182432432432432,0.2243243243243243,0.056081081081081,True
